epoch,train_loss,val_loss,val_accuracy,val_macro_f1,lr,epoch_time_sec
0,1.8338750727513107,1.188296039390046,0.638595629756936,0.5319026179889542,0.001,219.36720657348633
1,1.086754547988918,0.792178664695798,0.7539896881905229,0.6768735345602201,0.001,220.2871196269989
2,0.8310673051440916,0.6633057581579092,0.7949914068254358,0.7227981019937431,0.001,225.44373607635498
3,0.6835331976959408,0.5815812417533177,0.8232261232506751,0.7770224517520667,0.001,228.12070846557617
4,0.5778405716654301,0.46769922373374145,0.8599312546034864,0.819766004827328,0.001,221.41611456871033
5,0.52121506912839,0.4519094067424254,0.859317456420329,0.8123980722934693,0.001,223.658429145813
6,0.4663990739081065,0.4748589374557624,0.8536705131352811,0.8095025331308832,0.001,227.4304735660553
7,0.4210502192947246,0.371050463153862,0.8842376626565185,0.8465930938543689,0.001,230.83479928970337
8,0.3869829348240553,0.38005550891246026,0.8848514608396759,0.8484232049704472,0.001,220.64839458465576
9,0.36361532472446445,0.3584946576393171,0.8907439233979867,0.8549580439278777,0.001,223.88779091835022
10,0.33086551652950175,0.3125560923329498,0.9032654063343972,0.8755833289938638,0.001,225.44917249679565
11,0.31215934822788416,0.25393195034337673,0.9240117849251166,0.8998645250513865,0.001,228.20388174057007
12,0.29071612778267436,0.23949659522554226,0.9240117849251166,0.9056463452256535,0.001,228.87353014945984
13,0.27682355888784527,0.2661900241896871,0.9125951387183894,0.8852809044508078,0.001,228.41380715370178
14,0.26464275390244524,0.24552356228785735,0.9210655536459612,0.8958009918988966,0.001,238.04683756828308
15,0.24967972228624413,0.22858336239146207,0.9308863245764792,0.909627720482343,0.001,233.51864767074585
16,0.24174791001670173,0.26709513134152024,0.9209427940093298,0.8896845117731604,0.001,230.96685791015625
17,0.2277998605526072,0.19737415352110035,0.9382519027743678,0.9177484646311873,0.001,234.78151988983154
18,0.22069477462086767,0.23797513279731414,0.9242573041983796,0.9167978273754785,0.001,242.58273482322693
19,0.21182844191742586,0.1851966397161314,0.9409526147802603,0.9233801336309871,0.001,248.18307447433472
20,0.19892586089100672,0.18117728040812242,0.9434078075128898,0.9328912979126531,0.001,237.09516263008118
21,0.18753498553442577,0.17453787646302918,0.9443898846059415,0.9231801056838718,0.001,241.86108660697937
22,0.18775166548481995,0.15829772071813075,0.9505278664375153,0.9360671882627114,0.001,245.21456480026245
23,0.17672341793311416,0.15311814146345035,0.9511416646206727,0.9391190222388434,0.001,242.4465250968933
24,0.17496749042514423,0.20773986767881303,0.9327277191259514,0.9206378495998252,0.001,232.5777370929718
25,0.16560800149244947,0.1261951309953364,0.9612079548244538,0.9523562930766793,0.001,237.21531534194946
26,0.163188120915327,0.1524461514321987,0.9521237417137245,0.9401087422657677,0.001,247.40344309806824
27,0.1597965711581322,0.1404505501069535,0.9538423766265652,0.9430775305829725,0.001,240.92351365089417
28,0.14965968709358676,0.15022360870940257,0.9516327031671986,0.9372809720051452,0.001,232.17014575004578
29,0.14995249786250442,0.1311632706784998,0.9586300024551927,0.9454750949429824,0.001,240.51550221443176
