epoch,train_loss,val_loss,val_accuracy,val_macro_f1,lr,epoch_time_sec
0,1.4626201899267681,0.8339729504191024,0.7541124478271545,0.6318050497393143,0.001,228.87853384017944
1,0.7752038432549994,0.5890161253168005,0.8194205745150994,0.7509797751881279,0.001,223.81277680397034
2,0.5796082227352756,0.40924292055374567,0.8850969801129389,0.8535778708532383,0.001,226.72163319587708
3,0.4734364915405915,0.4110806344130497,0.8706113429904248,0.8341626966710818,0.001,231.5772728919983
4,0.4043515345243784,0.31006918287326796,0.9037564448809231,0.8747062523081613,0.001,225.134539604187
5,0.35746260670552843,0.34458024685037625,0.8862018168426221,0.8288412516348618,0.001,225.92957711219788
6,0.32205104801224044,0.30287013862079903,0.899828136508716,0.8660975301943826,0.001,226.4966902732849
7,0.29618617305815326,0.2920858683593565,0.9097716670758654,0.8690522231982252,0.001,233.98357844352722
8,0.27359377647918937,0.20645588237253537,0.9371470660446846,0.9188407189626391,0.001,224.6790325641632
9,0.25486898048261736,0.1953138545386012,0.9388657009575252,0.9215925723494379,0.001,224.86849093437195
10,0.24648686998375688,0.232317840072708,0.9233979867419593,0.8987499945535468,0.001,227.28571581840515
11,0.23321514334174867,0.21078515907860662,0.9301497667566904,0.9058191628555822,0.001,233.28356266021729
12,0.21799461530702033,0.2105757243727331,0.9324821998526884,0.917859370064767,0.001,226.4166874885559
13,0.21128999514541136,0.14479309935870438,0.9547016940829856,0.9410838687442379,0.001,228.59193015098572
14,0.19645198967962857,0.1712385265735502,0.9462312791554137,0.9328084782411871,0.001,229.7313256263733
15,0.18669747772510836,0.23587703132518198,0.9224159096489074,0.907359002159933,0.001,240.29693293571472
16,0.18197177369024056,0.11253205550907822,0.9651362631966609,0.9547932973049702,0.001,227.45903301239014
17,0.17425105284370648,0.19098663547874528,0.9411981340535231,0.9158733905601643,0.001,230.8654899597168
18,0.1645719373801953,0.10635705871887725,0.9663638595629757,0.9582334148546386,0.001,231.52111864089966
19,0.16183559720414345,0.12104369111060093,0.962803830100663,0.9534526572996096,0.001,237.11571669578552
20,0.15139400296749772,0.1433564509887531,0.9535968573533022,0.9369458142407895,0.001,227.590008020401
21,0.15024163258253845,0.12173686075194542,0.9605941566412963,0.9468708620593842,0.001,226.12801456451416
22,0.1489876444187589,0.1431889220935974,0.9559292904493003,0.9387383364214785,0.001,228.85948657989502
23,0.14154348991702295,0.08995809667287742,0.9720108028480235,0.9630832070768633,0.001,239.7643427848816
24,0.13601407844161253,0.11720843744345774,0.9630493493739258,0.9511884930681846,0.001,228.89334678649902
25,0.13125893353512696,0.10662223968207331,0.9641541861036091,0.9480946871332795,0.001,230.70546913146973
26,0.12709390985301502,0.10101918848140208,0.9671004173827645,0.9590013424296461,0.001,230.84923481941223
27,0.12486000906777585,0.09612744938166139,0.969555610115394,0.961604253559905,0.001,241.81421947479248
28,0.12020914490329496,0.07549712572297324,0.9766756690400197,0.9699652285500718,0.001,226.98769807815552
29,0.11725410918232693,0.08603986660506747,0.9739749570341272,0.9648389640798893,0.001,231.32791113853455
