epoch,train_loss,val_loss,val_accuracy,val_macro_f1,lr,epoch_time_sec
0,1.6996973855337645,0.982930180849679,0.7037809968082495,0.6001395732953171,0.001,230.8383984565735
1,0.9547539211117342,0.7254198991967716,0.7823471642523938,0.7153835290113499,0.001,225.05110454559326
2,0.7553804893374731,0.6529084707916939,0.7949914068254358,0.7368771748001594,0.001,221.30786180496216
3,0.6245953871816707,0.5989605972683755,0.8124232752271053,0.7620326964974474,0.001,225.89873123168945
4,0.5302117005732264,0.438619341568905,0.866560274981586,0.8311384033889903,0.001,232.79713010787964
5,0.4549945043812523,0.43615351430420085,0.861404370243064,0.8266592250228788,0.001,240.09686613082886
6,0.4033814146181765,0.357431924008623,0.8885342499386202,0.8498552740580309,0.001,229.55398416519165
7,0.3562500251226396,0.36672840196554524,0.8886570095752516,0.8572205218569935,0.001,229.05493140220642
8,0.3207282100594522,0.30941500677847206,0.9049840412472379,0.8741167561268132,0.001,238.06370449066162
9,0.29014595447371383,0.266723546833511,0.9159096489074392,0.8897046934934879,0.001,242.39172506332397
10,0.27310300877216453,0.24128278569399986,0.9262214583844832,0.9021114229897863,0.001,236.08477783203125
11,0.2534665572029232,0.23745016879523861,0.9231524674686963,0.9113728179052907,0.001,236.6027774810791
12,0.23584583977624063,0.24816983610041998,0.9205745150994353,0.897062877765551,0.001,239.88119316101074
13,0.22546998931146553,0.21951245016029908,0.9308863245764792,0.9108945331884429,0.001,241.4783971309662
14,0.20461814923953422,0.2031678978456406,0.9340780751288976,0.9108725173683542,0.001,228.40505862236023
15,0.20240751296629922,0.18433118399448478,0.9454947213356248,0.9311745184868923,0.001,239.9358196258545
16,0.1892693589039568,0.2059621166273406,0.9360422293150013,0.916009275192913,0.001,236.09605860710144
17,0.18118958540341545,0.18399768419331583,0.9423029707832065,0.9292560746250791,0.001,240.55466413497925
18,0.17214229524505648,0.23581870514359574,0.927449054750798,0.9093786360548792,0.001,229.2812888622284
19,0.16745581075832944,0.17251706762954278,0.9452492020623618,0.9321287148894486,0.001,233.26711893081665
20,0.16403531356289627,0.15965106461571907,0.9505278664375153,0.9341992920879977,0.001,245.38252973556519
21,0.15912756635071942,0.1973683466630243,0.9367787871347901,0.9211432005840905,0.001,247.89036870002747
22,0.1448748259975962,0.14962765557939034,0.9551927326295114,0.9454536597802417,0.001,230.96880650520325
23,0.14089778147063153,0.137041336673742,0.9566658482690891,0.9483935699413357,0.001,236.01901650428772
24,0.13666876450715712,0.1219443139682204,0.959980358458139,0.9501554341110175,0.001,251.10769534111023
25,0.13382738128525576,0.15255618004825944,0.9508961453474097,0.9382106287367871,0.001,251.69874906539917
26,0.13076582021531458,0.11689826409415585,0.9639086668303462,0.9553808553521486,0.001,232.1664116382599
27,0.12451444400291556,0.11514577515889873,0.9645224650135036,0.9540902075327711,0.001,244.4969744682312
28,0.12162666072024068,0.10405064049283887,0.9666093788362387,0.9590631436005114,0.001,249.3309609889984
29,0.10773020133575656,0.09613965177615458,0.9704149275718144,0.961637792635827,0.001,250.56900906562805
