epoch,train_loss,val_loss,val_accuracy,val_macro_f1,lr,epoch_time_sec
0,1.1014720197791716,0.6594747719097688,0.7863982322612325,0.7192863590579212,0.001,238.28600597381592
1,0.4768387149173837,0.2847535746826489,0.914804812177756,0.8919173360158975,0.001,237.92082333564758
2,0.3246630655095337,0.26393967807738133,0.9181193223668058,0.8932669910802982,0.001,236.64458751678467
3,0.2516321045065584,0.18716970508131126,0.9350601522219494,0.911614502132421,0.001,236.2527573108673
4,0.2078618189635734,0.1551387734713914,0.9510189049840413,0.9342785901708416,0.001,237.14090847969055
5,0.1708005147528538,0.19223251778782402,0.9340780751288976,0.9158118786936863,0.001,245.65453028678894
6,0.1509716548770431,0.16881204693129556,0.9453719616989934,0.9298533401218562,0.001,238.14786505699158
7,0.13253563179457223,0.08583544487828856,0.9721335624846551,0.964224381610088,0.001,242.2041437625885
8,0.11870746081204946,0.12608197322016407,0.9572796464522465,0.9408115020386085,0.001,240.04218339920044
9,0.11049600355080162,0.08928178770244784,0.9720108028480235,0.9687134804040184,0.001,244.09129762649536
10,0.09302792438799555,0.07161716745822848,0.9759391112202308,0.9693441076981117,0.001,231.8151707649231
11,0.0970674172913283,0.07386381365736115,0.974711514853916,0.9702999626479565,0.001,235.58020782470703
12,0.08336532806367462,0.06561773091541508,0.9793763810459121,0.9726522541631851,0.001,238.890967130661
13,0.07681640005635892,0.06604128945819229,0.9787625828627547,0.9718033331049858,0.001,252.82073163986206
14,0.07063402680265211,0.0601872811677718,0.9799901792290695,0.9715142374577234,0.001,240.48127460479736
15,0.06652208832285159,0.050811264570010006,0.9841640068745396,0.9802631959427704,0.001,237.77481198310852
16,0.06414740113134772,0.06339428346441076,0.9796219003191751,0.9733180727545254,0.001,243.43243527412415
17,0.060435052877269496,0.08897585379893384,0.967468696292659,0.9561849101882711,0.001,254.34239029884338
18,0.057500918870592846,0.0657026094882665,0.9797446599558065,0.9727399342565503,0.001,242.11151909828186
19,0.05469079476495119,0.04185114720683517,0.9857598821507488,0.9821575792931528,0.001,237.32634043693542
20,0.04785182617508101,0.040542137289609044,0.9856371225141174,0.9795259844403077,0.001,242.9329924583435
21,0.0503865576421084,0.031232759153151497,0.9904247483427449,0.98867600660358,0.001,252.42236709594727
22,0.04595357535794451,0.033546942923792254,0.9883378345200098,0.9844361708740705,0.001,242.31176042556763
23,0.04779322982277581,0.03795655274600531,0.987110238153695,0.9829367596069046,0.001,245.74621987342834
24,0.041976674730975445,0.03414326102979093,0.9906702676160078,0.9868336177810334,0.001,245.0650806427002
25,0.042840380002323576,0.05122375981214829,0.9839184876012766,0.9797447184855166,0.001,251.76278829574585
26,0.03849300318237347,0.027663781542773668,0.9914068254357967,0.9888601811822162,0.001,240.6052360534668
27,0.03924409491464254,0.03536282481052267,0.9888288730665358,0.9861030519350354,0.001,242.81201457977295
28,0.0367446260712835,0.03296527935866141,0.9904247483427449,0.988559871369017,0.001,244.9983561038971
29,0.03548471625045308,0.03522009370408765,0.9884605941566413,0.985423812016458,0.001,255.34730863571167
